model,accuracy,f1,precision,recall
Logistic Regression,0.925,0.9240506329113924,0.9358974358974359,0.9125
Random Forest,0.86875,0.8590604026845637,0.927536231884058,0.8
SVM (RBF),0.9125,0.9078947368421053,0.9583333333333334,0.8625
